,0
Error_to_Output_Ratio,0.43745956
Error_Rate_%,0.3103976
Production_Speed_units_per_hr,0.2193289
Energy_Efficiency_Ratio,0.015235958
Quality_Adjusted_Error,0.0044508036
Power_Consumption_kW,0.0039506964
Mode_Maintenance,0.002719479
Quality_Control_Defect_Rate_%,0.0015128608
Mode_Idle,0.0005764898
Temperature_C,0.0005154422
Network_Latency_ms,0.0005111786
Predictive_Maintenance_Score,0.0004900916
Network_Reliability_Score,0.0004871475
Hour,0.00046059492
Packet_Loss_%,0.0004537505
Sensor_Stability_Score,0.0004239579
Vibration_Hz,0.00040379076
Is_Weekend,0.00036846462
Mode_Active,0.00025308985
